Bike ID,Gender,Birth Year,Age,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
27777,Male,1988,36,311,3209,Brunswick St,40.7241765,-74.0506564,2021-01-01 09:55:35.0350,3185,City Hall,40.7177325,-74.043845,2021-01-01 10:00:46.2580
41002,Male,1966,58,216,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,2021-01-01 09:58:17.2360,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 10:01:54.0860
42251,Male,1995,29,387,3212,Christ Hospital,40.734785818,-74.050443636,2021-01-01 09:58:19.5370,3640,Journal Square,40.73367,-74.0625,2021-01-01 10:04:46.8330
33887,Male,1966,58,515,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 10:03:02.0930,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,2021-01-01 10:11:37.6020
43928,Male,1990,34,449,3267,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 10:11:16.9940,3638,Washington St,40.7242941,-74.0354826,2021-01-01 10:18:46.6600
44236,Male,1978,46,3097,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 10:16:34.1850,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 11:08:11.6310
42112,Female,1982,42,707,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 10:18:55.9130,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 10:30:43.8490
29727,Male,1968,56,855,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 10:19:38.0730,3273,Manila & 1st,40.721650724879986,-74.04288411140442,2021-01-01 10:33:53.6420
40954,Male,1986,38,222,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2021-01-01 10:24:36.6460,3186,Grove St PATH,40.71958611647166,-74.04311746358871,2021-01-01 10:28:18.6970
33677,Female,1985,39,354,3187,Warren St,40.7211236,-74.03805095,2021-01-01 10:32:33.6780,3267,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 10:38:28.1720
40885,Male,1988,36,308,3212,Christ Hospital,40.734785818,-74.050443636,2021-01-01 10:34:27.8000,3210,Pershing Field,40.742677141,-74.051788633,2021-01-01 10:39:36.2870
46326,Male,1981,43,307,3187,Warren St,40.7211236,-74.03805095,2021-01-01 10:34:30.3090,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 10:39:37.4130
42343,Male,1988,36,410,3267,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 10:39:15.0620,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 10:46:05.2330
42342,Unknown,1969,55,589,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,2021-01-01 10:52:27.3490,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 11:02:17.3280
44920,Male,1988,36,291,3210,Pershing Field,40.742677141,-74.051788633,2021-01-01 10:53:14.0970,3212,Christ Hospital,40.734785818,-74.050443636,2021-01-01 10:58:05.6200
41002,Male,1967,57,226,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 11:00:06.4040,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 11:03:53.2520
46537,Male,1961,63,597,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 11:01:07.3940,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,2021-01-01 11:11:05.1770
44685,Male,1960,64,492,3193,Lincoln Park,40.7246050998869,-74.07840594649315,2021-01-01 11:03:48.5550,3280,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 11:12:00.9900
42219,Female,1975,49,6936,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 11:11:01.0540,3192,Liberty Light Rail,40.7112423,-74.0557013,2021-01-01 13:06:37.5900
47029,Male,1975,49,366,3187,Warren St,40.7211236,-74.03805095,2021-01-01 11:13:26.8110,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 11:19:33.3210
42591,Female,1990,34,3196,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 11:21:12.6740,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:14:29.0380
33630,Male,1976,48,594,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 11:24:54.1750,3203,Hamilton Park,40.727595966,-74.044247311,2021-01-01 11:34:49.0470
42316,Male,1986,38,2788,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 11:28:19.8830,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 12:14:48.2510
46141,Female,1988,36,3158,3267,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 11:30:48.4770,3184,Paulus Hook,40.7141454,-74.0335519,2021-01-01 12:23:26.5470
